trial_id,label,score
evaluation-1007-tar-000,1,-0.011114336550235748
evaluation-1007-non-000,0,0.03792949765920639
evaluation-1008-tar-000,1,0.09549979865550995
evaluation-1008-non-000,0,-0.07057129591703415
evaluation-1013-tar-000,1,0.15543648600578308
evaluation-1013-non-000,0,0.17411166429519653
evaluation-10178-tar-000,1,0.0416003093123436
evaluation-10178-non-000,0,0.2314159870147705
evaluation-1024-tar-000,1,0.18140143156051636
evaluation-1024-non-000,0,-0.04632824286818504
evaluation-10282-tar-000,1,0.11822226643562317
evaluation-10282-non-000,0,0.008593859151005745
evaluation-10346-tar-000,1,0.018005283549427986
evaluation-10346-non-000,0,-0.01961979828774929
evaluation-10406-tar-000,1,0.014803001657128334
evaluation-10406-non-000,0,0.09639651328325272
evaluation-10428-tar-000,1,0.13883227109909058
evaluation-10428-non-000,0,0.10086598247289658
evaluation-10444-tar-000,1,0.1279984563589096
evaluation-10444-non-000,0,0.140800341963768
evaluation-10538-tar-000,1,0.016987714916467667
evaluation-10538-non-000,0,0.10771791636943817
evaluation-1055-tar-000,1,-0.019111208617687225
evaluation-1055-non-000,0,-0.06320786476135254
evaluation-1056-tar-000,1,-0.15486131608486176
evaluation-1056-non-000,0,-0.14515945315361023
evaluation-10606-tar-000,1,0.16268885135650635
evaluation-10606-non-000,0,-0.019754581153392792
evaluation-1063-tar-000,1,0.2509530186653137
evaluation-1063-non-000,0,0.024788979440927505
evaluation-10642-tar-000,1,0.015039097517728806
evaluation-10642-non-000,0,-0.03268079459667206
evaluation-10689-tar-000,1,0.09870389848947525
evaluation-10689-non-000,0,0.031220752745866776
evaluation-10711-tar-000,1,-0.053545739501714706
evaluation-10711-non-000,0,-0.1752013862133026
evaluation-10738-tar-000,1,0.07052464783191681
evaluation-10738-non-000,0,-0.08710655570030212
evaluation-10802-tar-000,1,-0.1947512924671173
evaluation-10802-non-000,0,0.07513727992773056
evaluation-10862-tar-000,1,0.14890556037425995
evaluation-10862-non-000,0,-0.11038108170032501
evaluation-10966-tar-000,1,-0.01977602206170559
evaluation-10966-non-000,0,-0.017521847039461136
